http://cloc.sourceforge.net v 1.64  T=42.16 s (0.0 files/s, 0.0 lines/s)
----------------------------------------------------------------------------------------
Language                              files          blank        comment           code
----------------------------------------------------------------------------------------
Ant
 same                                     0              0             65            214
 modified                                 1              0              0              3
 added                                    0              0              0              0
 removed                                  0              0              0              1
XSLT
 same                                     1              0             14             50
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
HTML
 same                                     1              0             14             72
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
Velocity Template Language
 same                                     0              0              0            121
 modified                                 1              0              0              2
 added                                    0              0              0              0
 removed                                  0              0              0              0
Bourne Shell
 same                                     4              0            100             46
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
CSS
 same                                     2              0             32             96
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
Maven
 same                                     1              0             51            472
 modified                                 1              0              0             16
 added                                    0              0              0              9
 removed                                  1             13             26            217
XML
 same                                    15              0            672           8490
 modified                                18              0              0            225
 added                                    0              4              0            109
 removed                                  3             43             49           1047
Java
 same                                   898              0          97812         158400
 modified                               353              0            337           1753
 added                                    0             79            372            877
 removed                                216           5512          15329          27366
-------------------------------------------------------------------------------
SUM:
 same                                   922              0          98760         167961
 modified                               374              0            337           1999
 added                                    0             83            372            995
 removed                                220           5568          15404          28631
-------------------------------------------------------------------------------
