http://cloc.sourceforge.net v 1.64  T=189.82 s (0.0 files/s, 0.0 lines/s)
----------------------------------------------------------------------------------------
Language                              files          blank        comment           code
----------------------------------------------------------------------------------------
Javascript
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  2            106            460           1091
YAML
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  1              5             15             13
Ant
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1             84             63            218
 removed                                  1             84             63            229
Velocity Template Language
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1             17              0            123
 removed                                  1             17              0            123
CSS
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    2             16             32             96
 removed                                  4             62             33            305
HTML
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1             27             14             72
 removed                               1405          14522             14         133835
Maven
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    3             39             79            821
 removed                                  3             80            111           1173
Java
 same                                     0              0          59607          59133
 modified                               638              0           1772           4684
 added                                  874          23753          55473         131527
 removed                                533          15278          25030          87675
Bourne Shell
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    4              6             98             46
 removed                                  4              6             98             46
XML
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                   36            540            697          10062
 removed                                433            583            737          36049
XSLT
 same                                     0              0              0              0
 modified                                 0              0              0              0
 added                                    1              4             14             50
 removed                                  1              4             14             50
-------------------------------------------------------------------------------
SUM:
 same                                     0              0          59607          59133
 modified                               638              0           1772           4684
 added                                  923          24486          56470         143015
 removed                               2388          30747          26575         260589
-------------------------------------------------------------------------------
