http://cloc.sourceforge.net v 1.64  T=69.05 s (0.0 files/s, 0.0 lines/s)
----------------------------------------------------------------------------------------
Language                              files          blank        comment           code
----------------------------------------------------------------------------------------
Velocity Template Language
 same                                     1              0              0            123
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
XSLT
 same                                     1              0             14             50
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
Ant
 same                                     0              0             63            216
 modified                                 1              0              0              2
 added                                    0              0              0              0
 removed                                  0              0              0              0
Bourne Shell
 same                                     4              0             98             46
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
XML
 same                                    33              0            697           9974
 modified                                 3              0              0             13
 added                                    0              0              0              0
 removed                                  0              6              0             75
Maven
 same                                     1              0             78            764
 modified                                 2              0              1              5
 added                                    0              0              0             15
 removed                                  0              1              0             52
CSS
 same                                     2              0             32             96
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
Java
 same                                  1464              0         116356         193239
 modified                                44              0             52            167
 added                                    1            108             31            983
 removed                                  4            283            444           1938
HTML
 same                                     1              0             14             72
 modified                                 0              0              0              0
 added                                    0              0              0              0
 removed                                  0              0              0              0
-------------------------------------------------------------------------------
SUM:
 same                                  1507              0         117352         204580
 modified                                50              0             53            187
 added                                    1            108             31            998
 removed                                  4            290            444           2065
-------------------------------------------------------------------------------
