github.com/AlDanial/cloc v 1.84  T=22.67 s (106.1 files/s, 40175.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
HTML
 same                           45              0              0            288
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                      1331             62          33643         555224
Java
 same                          509           9360         140734         137076
 modified                      477              0             88            605
 added                           4             90            544           2890
 removed                         1            148            186            713
JavaScript
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                        14           3801           5604          16213
CSS
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         5             43            134           1446
Ant
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           1             69             52            270
 removed                         1             69             52            268
Maven
 same                            0              0              5            186
 modified                        1              0              0              8
 added                           0              0              0              7
 removed                         1             30              5            210
XML
 same                            4             66             88            131
 modified                        1              0              0              1
 added                           2             18             13             79
 removed                         3             18             13             89
INI
 same                            0              0              0              5
 modified                        1              0              0              3
 added                           1              0              0              4
 removed                         2              0              0             19
Bourne Shell
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         1              0              0              1
-------------------------------------------------------------------------------
SUM:
 same                          558           9426         140827         137686
 modified                      480              0             88            617
 added                           8            177            609           3250
 removed                      1359           4171          39637         574183
-------------------------------------------------------------------------------
