github.com/AlDanial/cloc v 1.84  T=28.24 s (50.4 files/s, 11368.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java
 same                            0              0         142969         143117
 modified                     1005              0           1364           1479
 added                           5            228           1113           1581
 removed                         0            106            117           2370
XML
 same                            5             66             99            204
 modified                        2              0              2              7
 added                         357              0              0          25439
 removed                         0              0              0              0
HTML
 same                           45              0              0            288
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         0              0              0              0
Ant
 same                            0              0             51            248
 modified                        1              0              1              8
 added                           0              0              0              8
 removed                         0              0              1              8
Maven
 same                            0              0              5            199
 modified                        1              0              0              1
 added                           0              0              0              0
 removed                         0              0              0              0
INI
 same                            2              0              0             12
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         0              0              0              0
-------------------------------------------------------------------------------
SUM:
 same                           52             66         143124         144068
 modified                     1009              0           1367           1495
 added                         362            228           1113          27028
 removed                         0            106            118           2378
-------------------------------------------------------------------------------
