github.com/AlDanial/cloc v 1.84  T=15.65 s (201.6 files/s, 66374.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
HTML
 same                           38              0              0            246
 modified                        0              0              0              0
 added                        1338             62          33643         555266
 removed                         7              0              0             42
Java
 same                          577          15379         113851          95707
 modified                       43              0             47            339
 added                         367           8370          27110          42348
 removed                       390          10219          31548          50131
XML
 same                            4             66             88            131
 modified                        1              0              0              1
 added                           3             18             13             89
 removed                       359             18             13          25518
JavaScript
 same                            0              0              0              0
 modified                        0              0              0              0
 added                          14           3801           5604          16213
 removed                         0              0              0              0
CSS
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           5             43            134           1446
 removed                         0              0              0              0
Ant
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           1             69             52            268
 removed                         1             69             52            264
Maven
 same                            0              0              5            196
 modified                        1              0              0              3
 added                           1             31              5            205
 removed                         0              0              0              1
INI
 same                            0              0              0              5
 modified                        1              0              0              3
 added                           2              0              0             19
 removed                         1              0              0              4
Bourne Shell
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           1              0              0              1
 removed                         0              0              0              0
-------------------------------------------------------------------------------
SUM:
 same                          619          15445         113944          96285
 modified                       46              0             47            346
 added                        1732          12394          66561         615855
 removed                       758          10306          31613          75960
-------------------------------------------------------------------------------
