github.com/AlDanial/cloc v 1.84  T=134.00 s (8.1 files/s, 877.1 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java
 same                            0              0              0              0
 modified                        0              0              0              0
 added                         166           5509          11759          12332
 removed                       315           5778          15719          21485
HTML
 same                            0              0              0              0
 modified                        0              0              0              0
 added                          10            221             98           1993
 removed                       318           2422             42          19533
XML
 same                            0              0              0              0
 modified                        0              0              0              0
 added                          54            288            742           1329
 removed                       185            641           1333           8662
Maven
 same                            0              0             20            148
 modified                        1              0              2             26
 added                           0              0             12            107
 removed                        16            172            324           2129
JavaScript
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         2            106            461           1091
Ant
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           8            346            289            962
 removed                         0              0              0              0
DTD
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           3             62            201            162
 removed                         4             96            325            272
CSS
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           1              0              0              1
 removed                         2             46              1            209
XSD
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         1              7             14             25
YAML
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         1              3             14              8
INI
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         2              0              0              6
Bourne Shell
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         1              0              2              2
-------------------------------------------------------------------------------
SUM:
 same                            0              0             20            148
 modified                        1              0              2             26
 added                         242           6426          13101          16886
 removed                       847           9271          18235          53422
-------------------------------------------------------------------------------
