github.com/AlDanial/cloc v 1.84  T=12.00 s (21.1 files/s, 2813.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java
 same                           86           1692          11741          11847
 modified                       80              0             14            435
 added                           0              1              4             50
 removed                         2            166            266            278
HTML
 same                            4             62             98           1966
 modified                        6              0              0             14
 added                           0              0              0             13
 removed                         0              6             42             14
XML
 same                           34            157            632            814
 modified                       17              0             14            104
 added                           3             54             96            411
 removed                         7             53            252            207
Ant
 same                            6            182            289            689
 modified                        2              0              0             20
 added                           0             23              0            253
 removed                         0              0              0              7
Maven
 same                            0              0             24            202
 modified                        1              0              1             18
 added                           0              0              9             61
 removed                         0              1              1             46
DTD
 same                            1              3            197            162
 modified                        2              0              4              0
 added                           0              0              0              0
 removed                         0              3             14              0
XSD
 same                            0              0              0              0
 modified                        0              0              0              0
 added                           0              0              0              0
 removed                         1             12             14             27
CSS
 same                            0              0              0              0
 modified                        1              0              0              1
 added                           0              0              0              0
 removed                         0              0              0              0
-------------------------------------------------------------------------------
SUM:
 same                          131           2096          12981          15680
 modified                      109              0             33            592
 added                           3             78            109            788
 removed                        10            241            589            579
-------------------------------------------------------------------------------
